Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
2	3	110	1584	16.331929222407993	6.0800625	3.0640625000000004	0.10999999999999588	6.190062499999996	3.016	22.52199172240799	Edge	11.076112499999995	664.4351186874995	0.0	
9	0	1230	366	39.04262137064025	4.829199328396763	1.2640625	1.229999999999995	6.059199328396758	3.5651368283967626	45.101820699037006	Edge	10.168558791114167	650.3883967107796	0.0	
10	0	411	1190	39.43425422232714	10.265193720909735	3.2840568925129725	0.41100000000000136	10.676193720909737	6.981136828396762	50.11044794323688	Edge	18.970548697637525	1145.9719578087302	0.0	
12	0	8192	2224	44.813561947020354	3.865431892512973	3.593431892512973	8.192	12.057431892512973	0.272	56.87099383953333	Edge	16.78817740652335	1294.23268191045	0.0	
20	3	219	385	71.64938450060515	2.5718187209097354	0.9746818925129728	0.21899999999999098	2.7908187209097264	1.5971368283967626	74.44020322151488	Edge	4.892073697637513	299.56369068372913	0.0	
17	0	2844	197	62.884473707156474	12.366124999999998	2.2781249999999997	2.8439999999999923	15.21012499999999	10.088	78.09459870715646	Edge	25.671824999999988	1632.639607374999	0.0	
21	3	11	557	75.14334934664531	4.466193720909736	1.509056892512973	0.010999999999988574	4.477193720909725	2.9571368283967625	79.62054306755503	Edge	8.052348697637512	480.57749680872894	0.0	
28	3	340	125	124.40972358198158	1.5245000000000002	0.4125	0.3399999999999923	1.8644999999999925	1.112	126.27422358198157	Edge	3.152099999999991	200.13356549999918	0.0	
42	0	900	3342	219.43976767771403	10.8733125	6.1453125	0.9000000000000021	11.773312500000003	4.728	231.21308017771403	Edge	20.651962500000003	1263.7355904375004	0.0	
48	0	1826	1823	275.95216237060845	3.5751875	2.9671875	1.8260000000000485	5.401187500000049	0.608	281.3533498706085	Edge	8.626537500000058	579.7580650625052	0.0	
55	0	4893	3381	303.5768636678862	12.7606875	6.5046875	4.892999999999933	17.653687499999933	6.256	321.2305511678861	Edge	28.840837499999918	1894.9291625624928	0.0	
58	1	536	353	327.877938079297	1.2783125	0.6703125	0.5360000000000282	1.8143125000000282	0.608	329.692250579297	Edge	2.9441625000000338	194.74648943750302	0.0	
62	0	492	1567	346.1715185790037	6.7515625	3.1515625	0.4920000000000524	7.243562500000053	3.6	353.41508107900376	Edge	12.743212500000064	777.5167551875056	0.0	
76	1	252	777	381.9805513900464	1.54875	1.26875	0.25199999999999356	1.8007499999999936	0.28	383.7813013900464	Edge	3.090149999999993	193.29070424999932	0.0	
