Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
3	3	17	1995	16.457875394338014	0.0	0	0.33999999999999986	0.33999999999999986	0	16.797875394338014	Local	0.7819999999999996	0.0	0.0	
4	3	89	1038	18.361290359821172	0.0	0	1.7800000000000011	1.7800000000000011	0	20.141290359821173	Local	4.094000000000002	0.0	0.0	
22	3	9	274	75.57826279458367	0.0	0	0.18000000000000682	0.18000000000000682	0	75.75826279458367	Local	0.41400000000001563	0.0	0.0	
29	3	1	187	128.7850386993148	0.0	0	0.020000000000010232	0.020000000000010232	0	128.80503869931482	Local	0.04600000000002353	0.0	0.0	
53	3	32	1606	292.61748774150664	0.0	0	0.6399999999999864	0.6399999999999864	0	293.2574877415066	Local	1.4719999999999684	0.0	0.0	
108	3	27	70	513.9993464783228	0.0	0	0.5399999999999636	0.5399999999999636	0	514.5393464783227	Local	1.2419999999999163	0.0	0.0	
126	3	107	328	617.2015366606014	0.0	0	2.1399999999999864	2.1399999999999864	0	619.3415366606014	Local	4.921999999999969	0.0	0.0	
135	3	48	2335	676.9256055697178	0.0	0	0.9600000000000364	0.9600000000000364	0	677.8856055697179	Local	2.2080000000000837	0.0	0.0	
147	0	2325	282	773.5655684300217	0.0	0	46.49528071454711	46.49528071454711	0	820.0608491445688	Local	106.93914564345833	0.0	0.0	
150	0	1721	872	786.3608491445688	0.0	0	68.12	68.12	0	854.4808491445688	Local	156.676	0.0	0.0	
178	3	114	715	950.9380400158417	0.0	0	2.2799999999999727	2.2799999999999727	0	953.2180400158417	Local	5.243999999999937	0.0	0.0	
199	3	70	214	1063.8209237528702	0.0	0	1.400000000000091	1.400000000000091	0	1065.2209237528702	Local	3.220000000000209	0.0	0.0	
205	3	34	1631	1120.4169555485162	0.0	0	0.6800000000000637	0.6800000000000637	0	1121.0969555485162	Local	1.5640000000001464	0.0	0.0	
210	3	23	166	1168.8666955140056	0.0	0	0.4600000000000364	0.4600000000000364	0	1169.3266955140057	Local	1.0580000000000835	0.0	0.0	
217	2	582	199	1187.690120179923	0.0	0	11.6400000000001	11.6400000000001	0	1199.3301201799231	Local	26.77200000000023	0.0	0.0	
224	3	195	2197	1225.3095272679357	0.0	0	3.900000000000091	3.900000000000091	0	1229.2095272679358	Local	8.970000000000208	0.0	0.0	
235	3	71	2723	1283.9904728659683	0.0	0	1.4200000000000728	1.4200000000000728	0	1285.4104728659684	Local	3.266000000000167	0.0	0.0	
256	3	10	53	1389.5808052295754	0.0	0	0.20000000000004547	0.20000000000004547	0	1389.7808052295754	Local	0.46000000000010455	0.0	0.0	
290	3	10	54	1560.840929603699	0.0	0	0.20000000000004547	0.20000000000004547	0	1561.040929603699	Local	0.46000000000010455	0.0	0.0	
318	3	106	223	1717.036429756446	0.0	0	2.119999999999891	2.119999999999891	0	1719.156429756446	Local	4.875999999999749	0.0	0.0	
309	0	3815	3175	1673.678875873105	0.0	0	76.29755388334092	76.29755388334092	0	1749.976429756446	Local	175.4843739316841	0.0	0.0	
327	3	30	247	1774.0619343128774	0.0	0	0.599999999999909	0.599999999999909	0	1774.6619343128773	Local	1.3799999999997907	0.0	0.0	
346	3	18	412	1886.2884079599764	0.0	0	0.35999999999989996	0.35999999999989996	0	1886.6484079599763	Local	0.8279999999997698	0.0	0.0	
359	3	6	1142	1944.1672978455267	0.0	0	0.11999999999989086	0.11999999999989086	0	1944.2872978455266	Local	0.27599999999974895	0.0	0.0	
392	3	263	1011	2052.3312693894304	0.0	0	5.260000000000218	5.260000000000218	0	2057.5912693894306	Local	12.098000000000502	0.0	0.0	
401	0	63	9407	2101.653266120842	0.0	0	1.2600000000002183	1.2600000000002183	0	2102.9132661208423	Local	2.898000000000502	0.0	0.0	
428	2	457	159	2282.8433768534255	0.0	0	9.139999999999873	9.139999999999873	0	2291.9833768534254	Local	21.021999999999707	0.0	0.0	
434	3	178	111	2321.857602499598	0.0	0	3.5537495575285902	3.5537495575285902	0	2325.411352057127	Local	8.173623982315757	0.0	0.0	
435	3	129	1033	2321.9913520571267	0.0	0	6.0	6.0	0	2327.9913520571267	Local	13.799999999999999	0.0	0.0	
438	3	2	330	2329.0819184893753	0.0	0	0.03999999999996362	0.03999999999996362	0	2329.1219184893753	Local	0.09199999999991632	0.0	0.0	
454	3	108	1067	2381.731367843454	0.0	0	2.1599999999998545	2.1599999999998545	0	2383.8913678434537	Local	4.967999999999665	0.0	0.0	
470	3	131	122	2435.7426455266004	0.0	0	2.619999999999891	2.619999999999891	0	2438.3626455266003	Local	6.0259999999997484	0.0	0.0	
474	3	49	4713	2440.979051005723	0.0	0	0.9800000000000182	0.9800000000000182	0	2441.959051005723	Local	2.2540000000000417	0.0	0.0	
485	3	3	147	2495.5796911566676	0.0	0	0.05999999999994543	0.05999999999994543	0	2495.6396911566676	Local	0.13799999999987447	0.0	0.0	
502	3	1	934	2599.483967140614	0.0	0	0.01999999999998181	0.01999999999998181	0	2599.503967140614	Local	0.04599999999995816	0.0	0.0	
543	3	275	646	2821.7625714041924	0.0	0	5.491968904175337	5.491968904175337	0	2827.2545403083677	Local	12.631528479603274	0.0	0.0	
544	3	82	402	2823.9145403083676	0.0	0	4.980000000000018	4.980000000000018	0	2828.8945403083676	Local	11.454000000000041	0.0	0.0	
547	2	662	2493	2860.2985110466484	0.0	0	13.239999999999782	13.239999999999782	0	2873.538511046648	Local	30.451999999999497	0.0	0.0	
556	3	28	1049	2877.7110426063696	0.0	0	0.5599999999999454	0.5599999999999454	0	2878.2710426063695	Local	1.2879999999998744	0.0	0.0	
609	3	27	342	3147.5436709485934	0.0	0	0.5399999999999636	0.5399999999999636	0	3148.0836709485934	Local	1.2419999999999163	0.0	0.0	
622	3	8	514	3203.2132100478093	0.0	0	0.15999999999985448	0.15999999999985448	0	3203.373210047809	Local	0.36799999999966526	0.0	0.0	
624	3	24	100	3211.0984434465636	0.0	0	0.4800000000000182	0.4800000000000182	0	3211.5784434465636	Local	1.1040000000000418	0.0	0.0	
598	0	6261	595	3116.561971694501	0.0	0	125.20169925409209	125.20169925409209	0	3241.7636709485932	Local	287.9639082844118	0.0	0.0	
639	0	1749	56	3313.6538092363944	0.0	0	34.98000000000002	34.98000000000002	0	3348.6338092363944	Local	80.45400000000004	0.0	0.0	
665	3	37	139	3429.663394831509	0.0	0	0.7316797205153307	0.7316797205153307	0	3430.395074552024	Local	1.6828633571852605	0.0	0.0	
666	3	89	12	3429.975074552024	0.0	0	2.200000000000273	2.200000000000273	0	3432.1750745520244	Local	5.0600000000006276	0.0	0.0	
678	3	62	222	3480.1336844846546	0.0	0	1.2399999999997817	1.2399999999997817	0	3481.3736844846544	Local	2.8519999999994976	0.0	0.0	
688	3	46	1519	3533.1718184476485	0.0	0	0.9200000000000728	0.9200000000000728	0	3534.0918184476486	Local	2.116000000000167	0.0	0.0	
690	3	3	290	3534.402741434164	0.0	0	0.05999999999994543	0.05999999999994543	0	3534.462741434164	Local	0.13799999999987447	0.0	0.0	
694	0	109	205	3572.8863587900128	0.0	0	2.1799999999998363	2.1799999999998363	0	3575.0663587900126	Local	5.013999999999623	0.0	0.0	
