Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
12	0	7788	1436	69.1666109645802	2.7095570584041817	2.24375	2.5960000000000085	5.30555705840419	0.46580705840418185	74.47216802298439	Edge	7.992402705127537	569.4931890920474	0.0	
29	0	3800	310	122.577149836979	1.942369558404182	0.484375	1.2666666666666646	3.2090362250708466	1.457994558404182	125.78618606204985	Edge	5.016265205127525	344.4547393628796	0.0	
36	0	6469	1562	139.28969080797	2.6158070584041817	2.440625	2.1563333333333268	4.7721403917375085	0.17518205840418186	144.0618311997075	Edge	7.2960527051275195	512.2367775087124	0.0	
38	0	11126	3603	153.55434388687	5.992369558404182	5.6296875	3.708666666666641	9.701036225070823	0.3626820584041819	163.2553801119408	Edge	15.236665205127498	1041.299527362877	0.0	
41	3	299	70	168.595885955577	0.12049455840418187	0.109375	0.09966666666667169	0.22016122507085356	0.01111955840418187	168.81604718064784	Edge	0.3364902051275334	23.63188573788035	0.0	
57	2	403	107	221.781433897132	0.17049455840418187	0.1671875	0.13433333333333525	0.3048278917375171	0.003307058404181871	222.0862617888695	Edge	0.4680902051275297	32.71992107121335	0.0	
64	0	7670	1938	253.088064881348	3.868932058404182	3.028125	2.5566666666667164	6.425598725070898	0.8408070584041819	259.5136636064189	Edge	10.032077705127588	689.7173415503852	0.0	
78	3	860	307	319.598876855415	1.248619558404182	0.4796875	0.2866666666666948	1.5352862250708768	0.7689320584041819	321.1341630804859	Edge	2.591515205127561	164.79608811288284	0.0	
84	3	491	16	327.990966403186	0.2970570584041819	0.025	0.16366666666662483	0.4607237250708067	0.2720570584041819	328.4516901282568	Edge	0.7311027051274772	49.453623925375325	0.0	
96	3	713	46	375.583984360077	0.27049455840418185	0.071875	0.23766666666662578	0.5081612250708076	0.19861955840418186	376.0921455851478	Edge	0.7720902051274783	54.54551773787542	0.0	
97	3	186	53	378.042120577335	0.08924455840418187	0.0828125	0.062000000000005176	0.15124455840418705	0.006432058404181871	378.1933651357392	Edge	0.23504020512753357	16.23443965454703	0.0	
103	0	2776	215	407.086861720346	1.598619558404182	0.3359375	0.9253333333333831	2.523952891737565	1.262682058404182	409.6108146120836	Edge	3.987915205127587	270.9185794462185	0.0	
106	1	5996	1994	410.508957173932	3.125182058404182	3.115625	1.9986666666667179	5.1238487250709	0.00955705840418187	415.6328058990029	Edge	8.02372770512759	549.9887983003853	0.0	
