Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
8	1	1497	4207	50.3281563140724	6.021630922040545	5.9758522727272725	0.5987999999999953	6.620430922040541	0.04577864931327278	56.94858723611294	Edge2	11.557495659672977	710.6304347409095	0.0	
19	0	2058	866	83.2812027717564	1.5685059220405457	1.2301136363636365	0.8231999999999977	2.3917059220405434	0.33839228567690915	85.67290869379694	Edge2	3.8111506596729794	256.72332196590986	0.0	
32	2	212	171	127.494315400696	0.24606274022236369	0.24289772727272727	0.08480000000000837	0.33086274022237205	0.0031650129496364164	127.82517814091837	Edge2	0.5446729324002647	35.51447567272919	0.0	
34	0	624	52	133.627866363902	0.3724831947678182	0.07386363636363637	0.24959999999996407	0.6220831947677823	0.29861955840418186	134.24994955866978	Edge2	0.9699897505820296	66.77378804317898	0.0	
42	3	258	1	170.241740460484	0.7304377402223637	0.0014204545454545455	0.20640000000002334	0.9368377402223871	0.7290172856769092	171.1785782007064	Edge2	1.5624679324002826	100.55922619773081	0.0	
46	0	5566	2515	177.07192371506	3.764528649313273	3.5724431818181817	2.226400000000031	5.990928649313304	0.19208546749509095	183.0628523643733	Edge2	9.44783156876393	643.0602902886407	0.0	
59	3	313	138	228.29849129137	0.4364036493132728	0.19602272727272727	0.12519999999999687	0.5616036493132697	0.2403809220405455	228.86009494068327	Edge2	0.9357665687638873	60.281974113637055	0.0	
60	2	165	77	232.020147315484	0.1182218311314546	0.109375	0.06599999999999792	0.18422183113145252	0.008846831131454598	232.20436914661545	Edge2	0.2919992960366158	19.77418713181898	0.0	
65	0	6251	1347	254.878486878619	3.6750400129496366	1.9133522727272727	2.500400000000042	6.175440012949679	1.7616877402223639	261.05392689156866	Edge2	9.615552023309396	662.8655555500055	0.0	
67	0	897	307	264.113428876286	0.9719150129496363	0.43607954545454547	0.3587999999999745	1.3307150129496108	0.5358354674950909	265.4441438892356	Edge2	2.1800070233093147	142.83761877499828	0.0	
79	1	3695	1201	319.946246194543	1.7645286493132728	1.7059659090909092	2.056139372610052	3.820668021923325	0.058562740222363685	323.7669142164663	Edge2	5.643518815895954	410.10668480522776	0.0	
87	0	2125	1161	345.69178173234	1.8927243200944244	1.751775216235697	0.8499999999999719	2.7427243200943963	0.1409491038587273	348.4345060524344	Edge2	4.42690377616993	294.4012857946124	0.0	
89	0	16716	5835	349.500511442078	10.622483194767819	8.288352272727273	6.686399999999997	17.308883194767816	2.3341309220405457	366.8093946368458	Edge2	27.144149750582073	1857.9182132431827	0.0	
94	0	6847	3885	369.643613240995	6.017369558404182	5.518465909090909	2.738800000000042	8.756169558404224	0.49890364931327275	378.39978279939925	Edge2	14.117825205127577	939.878484229551	0.0	
99	1	3514	2345	383.424357210409	3.4023127402223636	3.330965909090909	1.405600000000014	4.807912740222378	0.0713468311314546	388.2322699506314	Edge2	7.810882932400272	516.0765456227298	0.0	
102	0	3094	1893	406.875235696089	2.6991877402223636	2.6889204545454546	1.2375999999999507	3.9367877402223144	0.010267285676909143	410.81202343631134	Edge2	6.343657932400196	422.570859247723	0.0	
107	0	4829	540	413.713264972327	1.8881081947678184	0.7670454545454546	1.9316000000000086	3.819708194767827	1.1210627402223639	417.53297316709484	Edge2	5.716514750582084	410.00365791818376	0.0	
110	0	4739	786	444.949751592877	3.3085627402223636	1.1164772727272727	1.8955999999999662	5.20416274022233	2.192085467495091	450.15391433309935	Edge2	8.230132932400213	558.6096243727246	0.0	
122	1	10186	7977	469.734954540533	11.37674455840418	11.330965909090908	4.074400000000043	15.451144558404224	0.04577864931327278	485.18609909893723	Edge2	25.367420205127576	1658.510405754551	0.0	
140	0	6000	3942	529.0017613772	5.731858194767819	5.599431818181818	2.3999999999999826	8.131858194767801	0.13242637658600004	537.1336195719678	Edge2	13.197344750582053	872.865526768181	0.0	
147	1	4032	2662	585.904325017112	3.9562900129496366	3.78125	1.6127999999999365	5.569090012949573	0.17504001294963642	591.4734150300616	Edge2	9.05668202330927	597.7805528999942	0.0	
153	0	5462	904	598.946883430635	1.7190741038587274	1.2840909090909092	2.1847999999999703	3.9038741038586977	0.4349831947678182	602.8507575344937	Edge2	5.716093386945674	419.03794243408873	0.0	
158	1	1221	805	622.305390196792	1.1508922856769093	1.1434659090909092	0.48839999999987893	1.6392922856767882	0.0074263765860000525	623.9446824824688	Edge2	2.6576861142182913	175.95999465226078	0.0	
164	0	2625	1170	658.656598957157	2.155153649313273	1.6619318181818181	1.0609520095026044	3.216105658815877	0.49322183113145457	661.8727046159729	Edge2	5.152418980167016	345.2135653116374	0.0	
167	2	133	177	662.130852747687	0.25742637658600004	0.25142045454545453	0.1064000000000756	0.36382637658607564	0.0060059220405455065	662.494679124273	Edge2	0.5910474778548909	39.052759436372774	0.0	
