Task_ID	Task_Type	Task_Lenght	TaskInputType	TaskStartTime	NetworkDelay	Uploading Delay	ExecutionDelay	ServiceTime	Downloading Delay	EndTime	offloadingPlace	IoTenergy	EdgeEnergy	CloudEnergy	
15	1	90	1523	76.6843557461108	0.0	0	1.7999999999999972	1.7999999999999972	0	78.4843557461108	Local	4.1399999999999935	0.0	0.0	
30	3	17	228	122.879603654906	0.0	0	0.3400000000000034	0.3400000000000034	0	123.21960365490601	Local	0.7820000000000078	0.0	0.0	
40	3	10	378	168.227410965682	0.0	0	0.19999999999998863	0.19999999999998863	0	168.427410965682	Local	0.4599999999999738	0.0	0.0	
49	0	3	1197	188.172989981455	0.0	0	0.060000000000002274	0.060000000000002274	0	188.232989981455	Local	0.13800000000000523	0.0	0.0	
61	1	313	10846	235.541269326317	0.0	0	6.259999999999991	6.259999999999991	0	241.801269326317	Local	14.397999999999978	0.0	0.0	
83	3	12	85	327.654370182588	0.0	0	0.2400000000000091	0.2400000000000091	0	327.89437018258803	Local	0.5520000000000209	0.0	0.0	
95	3	49	34	373.169322956977	0.0	0	0.9800000000000182	0.9800000000000182	0	374.149322956977	Local	2.2540000000000417	0.0	0.0	
108	2	1	54	415.107092064388	0.0	0	0.01999999999998181	0.01999999999998181	0	415.12709206438797	Local	0.04599999999995816	0.0	0.0	
111	0	71	3042	446.278510349424	0.0	0	1.420000000000016	1.420000000000016	0	447.698510349424	Local	3.2660000000000364	0.0	0.0	
180	3	26	376	716.720507345149	0.0	0	0.5199999999999818	0.5199999999999818	0	717.240507345149	Local	1.195999999999958	0.0	0.0	
207	3	37	96	824.478940774386	0.0	0	0.7400000000000091	0.7400000000000091	0	825.218940774386	Local	1.7020000000000208	0.0	0.0	
217	1	446	10719	853.90366118476	0.0	0	8.919999999999959	8.919999999999959	0	862.82366118476	Local	20.515999999999906	0.0	0.0	
227	0	22	2769	906.555666837685	0.0	0	0.44000000000005457	0.44000000000005457	0	906.995666837685	Local	1.0120000000001255	0.0	0.0	
231	0	63	2362	917.610612931195	0.0	0	1.259999999999991	1.259999999999991	0	918.870612931195	Local	2.897999999999979	0.0	0.0	
251	0	17	825	993.652501666075	0.0	0	0.34000000000003183	0.34000000000003183	0	993.992501666075	Local	0.7820000000000732	0.0	0.0	
257	3	9	641	1026.97434634491	0.0	0	0.18000000000006366	0.18000000000006366	0	1027.15434634491	Local	0.4140000000001464	0.0	0.0	
267	0	259	4934	1093.6097571407	0.0	0	5.180000000000064	5.180000000000064	0	1098.7897571407	Local	11.914000000000145	0.0	0.0	
271	0	120	2008	1099.86589504671	0.0	0	2.400000000000091	2.400000000000091	0	1102.26589504671	Local	5.520000000000209	0.0	0.0	
278	3	25	55	1121.65454921922	0.0	0	0.5	0.5	0	1122.15454921922	Local	1.15	0.0	0.0	
294	2	4	54	1204.92071343969	0.0	0	0.07999999999992724	0.07999999999992724	0	1205.00071343969	Local	0.18399999999983263	0.0	0.0	
313	1	3	9620	1303.46012457848	0.0	0	0.05999999999994543	0.05999999999994543	0	1303.52012457848	Local	0.13799999999987447	0.0	0.0	
319	3	16	440	1311.68351657179	0.0	0	0.31999999999993634	0.31999999999993634	0	1312.00351657179	Local	0.7359999999998535	0.0	0.0	
323	3	31	53	1328.79467619929	0.0	0	0.6199999999998909	0.6199999999998909	0	1329.41467619929	Local	1.4259999999997488	0.0	0.0	
324	1	300	8382	1336.29793623936	0.0	0	6.0	6.0	0	1342.29793623936	Local	13.799999999999999	0.0	0.0	
332	3	73	485	1375.34465858482	0.0	0	1.4600000000000364	1.4600000000000364	0	1376.8046585848201	Local	3.3580000000000836	0.0	0.0	
361	3	25	337	1514.91070896276	0.0	0	0.5	0.5	0	1515.41070896276	Local	1.15	0.0	0.0	
364	3	41	104	1522.53252844792	0.0	0	0.8199999999999363	0.8199999999999363	0	1523.35252844792	Local	1.8859999999998533	0.0	0.0	
377	1	17	4962	1585.21622648235	0.0	0	0.33999999999991815	0.33999999999991815	0	1585.55622648235	Local	0.7819999999998116	0.0	0.0	
394	1	14	1841	1645.91625513472	0.0	0	0.2799999999999727	0.2799999999999727	0	1646.1962551347199	Local	0.6439999999999372	0.0	0.0	
435	3	4	54	1817.5120675817	0.0	0	0.07999999999992724	0.07999999999992724	0	1817.5920675817	Local	0.18399999999983263	0.0	0.0	
456	3	28	55	1875.06086731997	0.0	0	0.5599999999999454	0.5599999999999454	0	1875.6208673199699	Local	1.2879999999998744	0.0	0.0	
466	1	64	4905	1938.05270840368	0.0	0	1.2799999999999727	1.2799999999999727	0	1939.33270840368	Local	2.943999999999937	0.0	0.0	
471	3	21	141	1961.9941062764	0.0	0	0.42000000000007276	0.42000000000007276	0	1962.4141062764002	Local	0.9660000000001673	0.0	0.0	
479	3	110	351	2018.58918893877	0.0	0	2.2000000000000455	2.2000000000000455	0	2020.78918893877	Local	5.060000000000104	0.0	0.0	
482	2	8	152	2024.10568244832	0.0	0	0.16000000000008185	0.16000000000008185	0	2024.2656824483201	Local	0.36800000000018823	0.0	0.0	
497	3	16	294	2120.67312484401	0.0	0	0.3200000000001637	0.3200000000001637	0	2120.9931248440103	Local	0.7360000000003765	0.0	0.0	
547	3	9	53	2322.57361120443	0.0	0	0.1799999999998363	0.1799999999998363	0	2322.75361120443	Local	0.41399999999962345	0.0	0.0	
561	3	4	99	2376.18837992245	0.0	0	0.07999999999992724	0.07999999999992724	0	2376.26837992245	Local	0.18399999999983263	0.0	0.0	
572	1	451	9868	2414.00032818125	0.0	0	9.019999999999982	9.019999999999982	0	2423.02032818125	Local	20.745999999999956	0.0	0.0	
614	3	38	15	2619.9544722193	0.0	0	0.7600000000002183	0.7600000000002183	0	2620.7144722193	Local	1.7480000000005018	0.0	0.0	
