task_id	Iot_source	MI	Inputsize	outputsize	Queuing_local	local_processing	total_IoT_response_time	total_IoT_response_energy	edge_up_delay	edge_dw_delay	Queuing_edge	edge_processing	total_edge_time	total_edge_response_energy	edge_up_delay2	edge_dw_delay2	Queuing_edge2	edge_processing2	total_edge_time2	total_edge_response_energy2	edge_up_delay3	edge_dw_delay3	Queuing_edge3	edge_processing3	total_edge_time3	total_edge_response_energy3	edge_up_delay4	edge_dw_delay4	Queuing_edge4	edge_processing4	total_edge_time4	total_edge_response_energy4	cloud_up_delay	cloud_dw_delay	Queuing_cloud	cloud_processing	total_cloud_time	total_cloud_response_energy1	cloud_up_delay2	cloud_dw_delay2	Queuing_cloud2	cloud_processing2	total_cloud_time2	total_cloud_response_energy2
1	3	649	184	1553	0.0	12.98	12.98	29.854	0.2875	2.4265625	0.0	0.21633333333333332	2.9303958333333338	5.1449125	0.26136363636363635	2.205965909090909	0.0	0.2596	2.7269295454545452	4.752713181818182	0.23958333333333334	2.0221354166666665	0.0	0.3245	2.58621875	4.46049375	0.22115384615384615	1.8665865384615385	0.0	0.37085714285714283	2.4585975274725276	4.202961263736264	0.575	4.853125	0.0	0.05408333333333333	5.482208333333334	9.835525	0.4791666666666667	4.044270833333333	0.0	0.0649	4.5883375	8.2200675
2	3	304	949	318	0.0	6.08	6.08	13.983999999999998	1.4828125	0.496875	0.0	0.10133333333333333	2.0810208333333335	3.6850375	1.4506388525993332	0.45344910385872733	0.0	0.1216	2.0256879564580603	3.385408636363636	1.2356770833333333	0.4140625	0.0	0.152	1.8017395833333332	3.1519312499999996	1.2126218712470767	0.3839560968657203	0.0	0.1737142857142857	1.7702922538270827	2.9495629120879117	2.965625	0.99375	0.0	0.025333333333333333	3.9847083333333333	7.157275	2.4713541666666665	0.828125	0.0	0.0304	3.3298791666666667	5.9755424999999995
3	3	33	321	11	0.0	0.66	0.66	1.518	0.5015625	0.0171875	0.0	0.011	0.52975	0.9469500000000001	0.4559659090909091	0.015625	0.0	0.0132	0.4847909090909091	0.8647036363636363	0.41796875	0.014322916666666666	0.0	0.0165	0.4487916666666667	0.7979250000000001	0.4578141789393844	0.014965712250335717	0.0	0.018857142857142857	0.491637034046863	0.7408978021978023	1.003125	0.034375	0.0	0.00275	1.0402500000000001	1.8708000000000002	0.8359375	0.028645833333333332	0.0	0.0033	0.8678833333333333	1.56021
4	2	340	20	7	0.0	6.8	6.8	15.639999999999999	0.03125	0.0109375	0.0	0.11333333333333333	0.15552083333333333	0.2119375	0.028409090909090908	0.009943181818181818	0.0	0.136	0.17435227272727274	0.23223409090909092	0.1113263701707098	0.010859141737515204	0.0	0.17	0.292185511908225	0.26728125	0.09603533278553823	0.010158019942643409	0.0	0.19428571428571428	0.30047906701389593	0.29155631868131865	0.0625	0.021875	0.0	0.028333333333333332	0.11270833333333334	0.185875	0.052083333333333336	0.018229166666666668	0.0	0.034	0.1043125	0.1673625
5	0	5760	602	21	0.0	115.2	115.2	264.96	0.940625	0.0328125	0.0	1.92	2.8934375	4.0561875	0.8551136363636364	0.029829545454545456	0.0	2.304	3.1889431818181815	4.357697727272727	0.8691388701707098	0.029088308404181872	0.0	2.88	3.7782271785748915	4.91615625	0.795554563554769	0.026984943019566488	0.0	3.2914285714285714	4.113968078002907	5.297550824175824	1.88125	0.065625	0.0	0.48	2.426875	4.080375	1.5677083333333333	0.0546875	0.0	0.576	2.198395833333333	3.6115125
6	1	1900	12915	38	0.0	38.0	38.0	87.39999999999999	20.1796875	0.059375	0.0	0.6333333333333333	20.872395833333332	37.1903125	18.345170454545453	0.05397727272727273	0.0	0.76	19.159147727272728	34.03046590909091	16.901690953504044	0.05122372507084853	0.0	0.95	17.90291467857489	31.498593750000005	15.594833409708615	0.04741763532725879	0.0	1.0857142857142856	16.72796533075016	29.32617445054945	40.359375	0.11875	0.0	0.15833333333333333	40.63645833333333	73.050625	33.6328125	0.10990161266131927	0.576	0.19000000000000006	34.50871411266132	60.94518750000001
7	0	4026	2954	115	0.0	80.52	80.52	185.19599999999997	4.615625	0.1796875	0.0	1.342	6.1373125	10.2419625	4.1960227272727275	0.16335227272727273	0.0	1.6104	5.969775	9.779354999999999	3.9316388701707097	0.1514841417375152	0.0	2.013	6.096123011908225	9.60856875	3.622477640477846	0.13996571225033572	1.0857142857142856	2.3005714285714287	7.148729067013896	9.400349175824175	9.23125	0.359375	0.0	0.3355	9.926124999999999	17.665725	7.692708333333333	0.2994791666666667	0.0	0.4026	8.3947875	14.8690575
8	1	1497	4207	31	0.0	29.94	29.94	68.862	6.5734375	0.0484375	0.0	0.499	7.120875	12.518175000000001	5.9758522727272725	0.04403409090909091	0.0	0.5988	6.618686363636363	11.554355454545455	5.563149286837376	0.042109141737515204	2.013	0.7484999999999999	8.36675842857489	10.831012499999998	5.128487255862462	0.03900417378879725	1.0857142857142856	0.8554285714285714	7.108634286794116	10.195264285714288	13.146875	0.096875	0.0	0.12475	13.368500000000001	23.98845	10.955729166666666	0.08072916666666667	0.0	0.1497	11.186158333333331	20.045264999999997
9	0	5631	357	105	0.0	112.62	112.62	259.026	0.5578125	0.1640625	0.0	1.877	2.598875	3.551775	0.6097297616902423	0.15089228567690913	0.5988	2.2524000000000006	3.611822047367152	3.8841300000000007	0.5501284535040432	0.13846330840418186	2.013	2.8155	5.517091761908225	4.4614125	0.5010834097086151	0.12794648148110493	1.0857142857142856	3.217714285714286	4.932458462618292	4.860776373626374	1.115625	0.328125	0.0	0.46925	1.913	3.1618500000000003	0.9296875	0.2734375	0.0	0.5631	1.766225	2.841345
10	2	953	66	3	0.0	19.06	19.06	43.837999999999994	0.103125	0.0046875	0.0	0.31766666666666665	0.42547916666666663	0.5752625	0.09375	0.004261363636363636	0.5988	0.3812	1.0780113636363635	0.6338604545454545	0.17122220350404313	0.0056508084041818705	2.013	0.47650000000000015	2.666373011908225	0.7335187500000002	0.15132379432399978	0.005350327634951102	1.0857142857142856	0.5445714285714287	1.7869598362446653	0.8027645604395606	0.20625	0.009375	0.0	0.07941666666666666	0.29504166666666665	0.483425	0.171875	0.0078125	0.0	0.0953	0.2749875	0.43779749999999995
